vehicle_make_model,prices
Hero Xpulse 200 4V,137578.0
Hero Xpulse 200T,95935.0
Hero Xpulse 200T,124418.0
Hero Xpulse 200T 4V,133258.0
Hero Xtreme 160R,119448.0
Hero Xtreme 160R,122765.0
Hero Xtreme 160R,124552.0
Hero Xtreme 160R,130567.0
Hero Xtreme 200R,92884.0
Hero Xtreme 200S,135837.0
Hero Xtreme,68635.0
Hero Xtreme,71494.0
Hero Xtreme 2014,71942.0
Hero Xtreme 2014,74976.0
Hero Xtreme Sports,78483.0
Hero Xtreme Sports,80338.0
Hero Electric Atria,77767.0
Hero Electric Cruz Li,51677.0
Hero Electric Cruz Li,37179.0
Hero Electric Dash,65183.0
Hero Electric Eddy,72142.0
Hero Electric E-Sprint,43223.0
Hero Electric Flash,59594.0
Hero Electric Flash,46771.0
Hero Electric Maxi,34424.0
Hero Electric NYX,61767.0
Hero Electric NYX,64647.0
Hero Electric NYX,65653.0
Hero Electric NYX,67440.0
Hero Electric NYX HX,86490.0
Hero Electric Optima,67280.0
Hero Electric Optima,51571.0
Hero Electric Optima,39937.0
Hero Electric Optima CX,67329.0
Hero Electric Optima CX,85254.0
Hero Electric Photon,86459.0
Hero Electric Wave Dx,40330.0
Hero Electric Zion,37990.0
Hero Honda Achiever,
Hero Honda Achiever,
Hero Honda Ambition,
Hero Honda Ambition,
Hero Honda Ambition,
Hero Honda Ambition,
Hero Honda CBZ extreme,
Hero Honda CBZ extreme,
Hero Honda CBZ Gold,
Hero Honda CBZ,
Hero Honda CBZ,
Hero Honda CD100,
Hero Honda CD100SS,
Hero Honda CD Dawn,
Hero Honda CD Deluxe,
Hero Honda Dawn,
Hero Honda Glamour FI,
Hero Honda Glamour FI,
Hero Honda Glamour,
Hero Honda Glamour,
Hero Honda Glamour,
Hero Honda Glamour,
Hero Honda Glamour,
Hero Honda Glamour,
Hero Honda HF Dawn,
Hero Honda HF Deluxe,
Hero Honda Hunk,
Hero Honda Karizma,
Hero Honda Karizma ZMR,
Hero Honda Passion,
Hero Honda Passion Plus,
Hero Honda Passion Plus,
