vehicle_make_model,prices
Tunwal Sport 63 Mid,"Rs.71,990*"
Tunwal Lithino Li,"Rs.74,990*"
Tunwal Sports 63 Alpha 48V,"Rs.54,943*"
Tunwal Storm ZX Advance 1,Rs.1.15 Lakh*
Tunwal TZ 3.3,Rs.1.15 Lakh*
Tunwal TEM G33,"Rs.92,000*"
Tunwal T 133,Rs.1 Lakh*
Tunwal Elektrika 60,"Rs.65,040*"
Ultraviolette F77 Mach 2,Rs.2.99 - 3.99 Lakh*
Ultraviolette F77,Rs. - 5.60 Lakh*
Yezdi Roadster,Rs.2.06 - 2.13 Lakh*
Yezdi Adventure,Rs.2.20 - 2.20 Lakh*
Yezdi Scrambler,Rs.2.10 - 2.16 Lakh*
TVS iQube,Rs.1.20 - 1.29 Lakh*
Aftek Elmo,Rs.1.40 Lakh*
AMO Electric Jaunty-3W,"Rs.78,819*"
AMO Electric Jaunty,"Rs.62,964 - 90,064*"
AMO Electric Brisk,"Rs.65,625*"
AMO Electric Jaunty Pro,"Rs.77,228*"
AMO Electric Jaunty Plus,Rs.1.08 Lakh*
Amo Electric Feisty EV,"Rs.70,025*"
AMO Electric Inspirer,"Rs.53,951 - 86,626*"
Ampere Magnus EX,Rs.1.05 Lakh*
Ampere Primus,Rs.1.46 Lakh*
Ampere Reo Li Plus,"Rs.69,900*"
Ampere NXG,Rs.1.35 - 1.55 Lakh*
Ampere Magnus LT,"Rs.93,900*"
Ampere Zeal EX,"Rs.96,690*"
Ather 450X,Rs.1.43 - 1.57 Lakh*
Ather Rizta,Rs.1.12 - 1.47 Lakh*
Ather 450S,Rs.1.17 Lakh*
Ather 450 Apex,Rs.1.95 Lakh*
Avera Retrosa,"Rs.88,900 - 1.28 Lakh*"
Avon E Scoot,"Rs.45,000*"
Avon E Plus,"Rs.25,000*"
Avon E Lite,"Rs.28,000*"
Avon E Mate,"Rs.45,000*"
Avon E Star,"Rs.60,000*"
BattRE Electric Storie,"Rs.94,999 - 1.10 Lakh*"
BattRE Electric LoEV,"Rs.59,990 - 1.03 Lakh*"
BattRE Electric IOT,"Rs.80,900*"
BattRE Electric gps:ie,"Rs.73,900*"
BattRE Electric ONE,"Rs.73,900 - 1.08 Lakh*"
Benling Aura,Rs.1.22 Lakh*
Benling Falcon,"Rs.69,540*"
Benling Kriti,"Rs.64,151*"
Benling Believe,Rs.1.26 Lakh*
BGauss C12i,Rs.1.13 - 1.39 Lakh*
BGauss D15,Rs.1.46 - 1.59 Lakh*
BNC Motors Challenger,Rs.1.09 Lakh*
Bounce Infinity E1+,Rs.1.10 - 1.12 Lakh*
Crayon Zeez,"Rs.48,000 - 58,000*"
Crayon Envy,"Rs.53,000 - 65,000*"
DAO 703,"Rs.99,999*"
DAO Vidyut 108,"Rs.86,449*"
DAO Zor 405,"Rs.77,349*"
DelEVery U1 Electric,Rs.1.18 - 1.30 Lakh*
Deltic Drixx,"Rs.64,990 - 91,990*"
Deltic Legion,"Rs.69,490 - 95,990*"
Deltic Trento,Rs.1.28 Lakh*
Deltic ZGS,Rs.1.02 Lakh*
Detel EV Easy Plus,"Rs.46,999*"
Detel EV Veeru,"Rs.70,000*"
e-Sprinto,"Rs.76,000 - 82,000*"
e-Sprinto Roamy,"Rs.54,999*"
e-Sprinto Rapo,"Rs.62,999*"
Sprinto HS,"Rs.86,000 - 97,000*"
E-Went Rabbitor,"Rs.60,100 - 83,000*"
E-Went Marium,"Rs.66,400 - 89,800*"
eblu Feo,"Rs.99,999*"
Energy Automobile EvOne,"Rs.60,000*"
Enigma Ambier,"Rs.57,000 - 95,000*"
Enigma Crink V1,"Rs.96,835*"
Enigma Crink Pro,Rs.1.15 Lakh*
Enigma GT 450 Pro,"Rs.86,902*"
Enigma N8 Thunderstrom,Rs.1.07 Lakh*
Enigma Ambier N8,"Rs.95,000 - 1.05 Lakh*"
EVeium COMET,Rs.1.85 Lakh*
EVeium COSMO,Rs.1.39 Lakh*
EVeium CZAR,Rs.2.08 Lakh*
Evolet Dhanno,"Rs.76,999*"
Evolet Derby,"Rs.74,999*"
Evolet Pony,"Rs.57,999*"
Evolet Polo,"Rs.69,999*"
Fidato Evtech Easy Go,"Rs.86,315*"
Fidato Evtech Loder,"Rs.83,490*"
Fidato Evtech 21,"Rs.89,199*"
Fidato Evtech Cutie,"Rs.54,600*"
Fidato Evtech Future 2020,"Rs.70,300*"
Fidato Evtech EasyGo Plus,"Rs.95,605*"
Flycon Empire +,"Rs.89,999 - 1.33 Lakh*"
Flycon Bright,"Rs.80,000*"
Flycon T3,"Rs.89,999 - 1.15 Lakh*"
Flycon Empire,"Rs.79,900*"
Flycon Grove,"Rs.74,629 - 80,957*"
Fujiyama Spectra,"Rs.51,528 - 77,119*"
Fujiyama Vespar,"Rs.61,050 - 86,641*"
Fujiyama Ozone,"Rs.99,918*"
Fujiyama Spectra Pro,"Rs.54,384 - 79,975*"
Geliose Hope,"Rs.46,999*"
Gemopai Miso,"Rs.44,000*"
Gemopai Ryder,"Rs.70,850 - 84,302*"
Gemopai Astrid Lite,"Rs.92,322 - 1.11 Lakh*"
Gemopai Ryder SuperMax,"Rs.79,999*"
Gowel ZX,"Rs.44,456 - 57,449*"
Gravton Quanta,"Rs.99,000*"
Greta Harper ZX Series-I,"Rs.41,999*"
GRP EV 11 Maxx,"Rs.82,000*"
GRP EV 11 Mini,"Rs.74,500*"
GRP EV 11 Pro,"Rs.84,000*"
GT One,"Rs.62,850 - 85,945*"
GT Soul,"Rs.52,861 - 75,350*"
GT Drive Plus,Rs.1.03 Lakh*
GT Prime,"Rs.57,417 - 77,763*"
GT One Plus,"Rs.68,982 - 86,970*"
GT Drive Pro,"Rs.67,801 - 90,530*"
GT Flying,"Rs.54,338 - 77,763*"
Hayasa Nirbhar,"Rs.65,550*"
Hayasa Daksha,"Rs.74,050*"
Hayasa Ira,"Rs.76,750*"
Hayasa Ojas,"Rs.80,550*"
HCD India NPS Cargo,"Rs.80,850 - 1 Lakh*"
Herald Royal,"Rs.91,150 - 1.23 Lakh*"
Herald Legend,"Rs.89,410 - 1.24 Lakh*"
Herald Rider,"Rs.87,660*"
Hero Electric Optima,Rs.1.07 - 1.30 Lakh*
Hero Electric Atria,"Rs.77,690*"
Hero Electric Flash,"Rs.59,640*"
Hero Electric NYX,"Rs.73,590 - 86,540*"
Hero Electric Photon,Rs.1.11 Lakh*
Hero Electric Eddy,"Rs.72,000*"
iGowise BeiGo X4,Rs.1.10 Lakh*
iScoot 1,Rs.1.07 - 1.17 Lakh*
iVOOMi Eco,"Rs.81,999*"
iVOOMi Jeet,"Rs.89,999*"
iVOOMi S1,"Rs.54,999 - 82,999*"
Jitendra JMT 1000HS,"Rs.97,224*"
Jitendra JET 320,"Rs.73,480 - 77,060*"
Jitendra JMT Classic City,"Rs.69,149 - 74,059*"
Jitendra Primo,"Rs.79,999*"
Jitendra JMT 1000 3K,Rs.1.28 Lakh*
Jitendra JMT 1000HS 26,"Rs.89,000*"
Kabira Hermes 75,"Rs.90,825*"
Kick EV Smassh,Rs.1.50 - 1.71 Lakh*
Kick EV Stallion,Rs.1.13 Lakh*
Kinetic e-Luna,"Rs.69,990 - 74,990*"
Kinetic Green Zing,"Rs.71,990 - 84,990*"
Kinetic Green Flex,Rs.1.10 Lakh*
Komaki XGT X One,"Rs.47,617 - 78,920*"
Komaki XGT KM,"Rs.56,890 - 93,045*"
Komaki Flora,"Rs.69,000*"
Komaki XGT X5,Rs.1 Lakh*
Komaki X2 Vogue,"Rs.62,311 - 88,500*"
Komaki SE,"Rs.96,968 - 1.38 Lakh*"
Komaki XGT X4,Rs.1.02 - 1.24 Lakh*
Komaki TN-95,Rs.1.31 - 1.40 Lakh*
Komaki Venice,Rs.1.04 - 1.50 Lakh*
Komaki LY,"Rs.78,000*"
Komaki DT 3000,Rs.1.21 Lakh*
Komaki XGT VP,"Rs.62,305 - 84,681*"
Kyte Energy Magnum Pro,"Rs.80,999*"
Lectrix EV LXS 2.0 Subscription,Rs.*
Lectrix EV LXS G 2.0,"Rs.99,999*"
Lectrix EV LXS,"Rs.91,399*"
Lectrix LXS 2.0,"Rs.49,999 - 84,999*"
Lectrix EV SX25,"Rs.71,999*"
Li-ions Spock Electric Scooter,"Rs.65,000*"
Lohia Oma Star,"Rs.41,444*"
Lohia Oma Star Li,"Rs.51,750*"
